0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	125
15	109
16	133
17	103
18	123
19	109
20	136
21	135
22	121
23	147
24	116
25	127
26	112
27	133
28	146
29	154
30	148
31	143
32	157
33	167
34	145
35	141
36	140
37	128
38	157
39	147
40	161
41	165
42	142
43	180
44	201
45	186
46	233
47	227
48	293
49	310
50	338
51	334
52	338
53	288
54	288
55	261
56	238
57	208
58	239
59	204
60	201
61	185
62	160
63	162
64	125
65	134
66	138
67	132
68	138
69	132
70	140
71	125
72	137
73	122
74	140
75	147
76	109
77	135
78	123
79	136
80	147
81	152
82	124
83	145
84	147
85	142
86	154
87	152
88	143
89	129
90	154
91	122
92	138
93	148
94	129
95	158
96	149
97	105
98	135
99	117
100	154
101	162
102	157
103	129
104	150
105	164
106	140
107	160
108	164
109	164
110	168
111	175
112	177
113	184
114	210
115	181
116	158
117	206
118	190
119	189
120	187
121	225
122	234
123	199
124	196
125	198
126	220
127	220
128	230
129	256
130	185
131	204
132	205
133	218
134	172
135	192
136	180
137	183
138	187
139	170
140	184
141	184
142	188
143	177
144	184
145	206
146	176
147	157
148	163
149	150
150	167
151	159
152	164
153	173
154	178
155	170
156	169
157	146
158	156
159	171
160	152
161	164
162	162
163	142
164	158
165	151
166	156
167	141
168	150
169	161
170	130
171	135
172	123
173	135
174	116
175	147
176	147
177	103
178	124
179	133
180	124
181	139
182	123
183	112
184	114
185	121
186	127
187	133
188	129
189	126
190	130
191	137
192	126
193	135
194	116
195	117
196	120
197	126
198	131
199	135
200	138
201	124
202	127
203	122
204	114
205	116
206	92
207	98
208	113
209	105
210	94
211	81
212	90
213	86
214	85
215	75
216	87
217	73
218	80
219	80
220	65
221	57
222	68
223	72
224	71
225	62
226	60
227	63
228	60
229	52
230	40
231	41
232	65
233	45
234	49
235	49
236	48
237	52
238	58
239	45
240	39
241	54
242	54
243	49
244	44
245	58
246	43
247	38
248	39
249	39
250	38
251	41
252	42
253	50
254	33
255	38
256	50
257	56
258	48
259	42
260	38
261	47
262	38
263	55
264	35
265	51
266	41
267	49
268	34
269	44
270	40
271	44
272	39
273	47
274	48
275	51
276	50
277	48
278	51
279	43
280	59
281	56
282	63
283	49
284	54
285	67
286	80
287	60
288	66
289	89
290	105
291	96
292	137
293	114
294	115
295	121
296	156
297	181
298	196
299	253
300	265
301	328
302	315
303	367
304	388
305	452
306	495
307	469
308	523
309	591
310	615
311	641
312	690
313	676
314	692
315	710
316	705
317	735
318	697
319	675
320	671
321	648
322	597
323	595
324	592
325	551
326	451
327	501
328	423
329	368
330	343
331	307
332	243
333	225
334	218
335	175
336	131
337	127
338	115
339	96
340	81
341	83
342	67
343	51
344	61
345	36
346	40
347	27
348	34
349	40
350	26
351	36
352	37
353	25
354	37
355	23
356	37
357	30
358	31
359	27
360	24
361	25
362	24
363	27
364	22
365	19
366	17
367	22
368	29
369	19
370	33
371	22
372	21
373	36
374	28
375	18
376	18
377	31
378	30
379	34
380	35
381	24
382	23
383	34
384	24
385	23
386	34
387	20
388	29
389	28
390	37
391	33
392	32
393	29
394	35
395	41
396	27
397	32
398	24
399	33
400	32
401	26
402	26
403	25
404	32
405	24
406	29
407	28
408	28
409	23
410	22
411	20
412	21
413	23
414	28
415	31
416	24
417	21
418	26
419	23
420	18
421	36
422	33
423	32
424	17
425	23
426	22
427	22
428	23
429	20
430	26
431	17
432	12
433	28
434	19
435	25
436	19
437	27
438	24
439	27
440	15
441	27
442	20
443	23
444	23
445	20
446	29
447	22
448	24
449	22
450	12
451	24
452	30
453	25
454	27
455	29
456	31
457	16
458	26
459	27
460	23
461	17
462	29
463	27
464	21
465	27
466	23
467	20
468	29
469	21
470	24
471	25
472	15
473	27
474	22
475	23
476	30
477	31
478	28
479	32
480	28
481	31
482	20
483	32
484	26
485	24
486	27
487	26
488	25
489	28
490	32
491	23
492	22
493	22
494	23
495	26
496	25
497	22
498	31
499	23
500	24
501	26
502	25
503	18
504	22
505	15
506	23
507	31
508	29
509	21
510	17
511	29
512	22
513	25
514	29
515	12
516	24
517	24
518	22
519	23
520	28
521	21
522	25
523	19
524	24
525	20
526	24
527	28
528	19
529	23
530	24
531	19
532	26
533	21
